sequence,found_in_MEGAHIT,found_in_SPAdes,status,MEGAHIT_vs2_score,MEGAHIT_dvf_score,MEGAHIT_identified_by,SPAdes_vs2_score,SPAdes_dvf_score,SPAdes_identified_by
k141_42010,Yes,No,Consensus,0.953,0.1284665167331695,Both,N/A,N/A,N/A
k141_41694,Yes,No,Consensus,0.953,3.674795152619481e-07,Both,N/A,N/A,N/A
NODE_106_length_3379_cov_3.513237,No,Yes,Consensus,N/A,N/A,N/A,0.967,0.9999285340309144,Both
k141_119463,Yes,No,Consensus,0.993,6.791538908146322e-05,Both,N/A,N/A,N/A
k141_22029,Yes,No,Consensus,0.627,0.0004384041822049,Both,N/A,N/A,N/A
k141_172905,Yes,No,Consensus,1.0,0.9999985098838806,Both,N/A,N/A,N/A
k141_154544,Yes,No,Consensus,0.753,0.0576445125043392,Both,N/A,N/A,N/A
k141_73123,Yes,No,Consensus,0.927,0.0007813622942194,Both,N/A,N/A,N/A
NODE_5712_length_1086_cov_1.091174,No,Yes,Consensus,N/A,N/A,N/A,0.967,0.4537846148014068,Both
k141_96949,Yes,No,Consensus,0.98,0.1248104572296142,Both,N/A,N/A,N/A
k141_111257,Yes,No,Consensus,0.66,0.9999855756759644,Both,N/A,N/A,N/A
k141_63403,Yes,No,Consensus,0.993,0.0368957743048667,Both,N/A,N/A,N/A
k141_126411,Yes,No,Consensus,0.6,0.0014144504675641,Both,N/A,N/A,N/A
k141_55815,Yes,No,Consensus,0.947,0.9320454597473145,Both,N/A,N/A,N/A
k141_89609,Yes,No,Consensus,0.987,0.0336723737418651,Both,N/A,N/A,N/A
NODE_7232_length_1020_cov_1.147150,No,Yes,Consensus,N/A,N/A,N/A,0.993,0.0003083314513787,Both
k141_84928,Yes,No,Consensus,0.88,0.1023789048194885,Both,N/A,N/A,N/A
k141_179918,Yes,No,Consensus,0.753,0.0480728149414062,Both,N/A,N/A,N/A
k141_6868,Yes,No,Consensus,0.6,0.5014508366584778,Both,N/A,N/A,N/A
k141_115935,Yes,No,Consensus,0.967,0.4931917786598205,Both,N/A,N/A,N/A
k141_132407,Yes,No,Consensus,0.5,0.0002921831037383,Both,N/A,N/A,N/A
k141_141799,Yes,No,Consensus,0.613,7.234510213116605e-10,Both,N/A,N/A,N/A
NODE_6058_length_1069_cov_1.791913,No,Yes,Consensus,N/A,N/A,N/A,,0.3829817175865173,Both
k141_60927,Yes,No,Consensus,,0.0005530914058908,Both,N/A,N/A,N/A
k141_170287,Yes,No,Consensus,0.867,2.826125410138048e-06,Both,N/A,N/A,N/A
k141_91410,Yes,No,Consensus,0.507,0.0229216217994689,Both,N/A,N/A,N/A
k141_61824,Yes,No,Consensus,,0.2960937917232513,Both,N/A,N/A,N/A
k141_84828,Yes,No,Consensus,0.68,1.883873665065039e-05,Both,N/A,N/A,N/A
NODE_2826_length_1314_cov_2.544877,No,Yes,Consensus,N/A,N/A,N/A,,0.0876754596829414,Both
k141_139092,Yes,No,Consensus,0.92,0.1765681654214859,Both,N/A,N/A,N/A
k141_25944,Yes,No,Consensus,0.94,0.3245106637477875,Both,N/A,N/A,N/A
k141_163394,Yes,No,Consensus,0.987,0.927348494529724,Both,N/A,N/A,N/A
k141_155474,Yes,No,Consensus,0.5,0.0986016541719436,Both,N/A,N/A,N/A
k141_4550,Yes,No,Consensus,0.613,0.0981101617217063,Both,N/A,N/A,N/A
k141_62713,Yes,No,Consensus,0.66,0.2121892273426056,Both,N/A,N/A,N/A
k141_79901,Yes,No,Consensus,0.52,0.0311197824776172,Both,N/A,N/A,N/A
k141_41986,Yes,No,Consensus,0.973,0.0006377912359312,Both,N/A,N/A,N/A
k141_44995,Yes,No,Consensus,1.0,0.5011211633682251,Both,N/A,N/A,N/A
k141_35986,Yes,No,Consensus,0.633,0.3360787034034729,Both,N/A,N/A,N/A
k141_43050,Yes,No,Consensus,0.927,0.2171428203582763,Both,N/A,N/A,N/A
k141_144784,Yes,No,Consensus,0.96,0.3015065491199493,Both,N/A,N/A,N/A
k141_58318,Yes,No,Consensus,0.967,0.0003815824748016,Both,N/A,N/A,N/A
k141_177221,Yes,No,Consensus,0.587,6.829225753790524e-07,Both,N/A,N/A,N/A
k141_114112,Yes,No,Consensus,0.767,9.981781659007538e-06,Both,N/A,N/A,N/A
k141_143530,Yes,No,Consensus,0.74,0.000114261485578,Both,N/A,N/A,N/A
k141_81394,Yes,No,Consensus,0.707,0.4268858134746551,Both,N/A,N/A,N/A
NODE_2793_length_1318_cov_1.529691,No,Yes,Consensus,N/A,N/A,N/A,,0.893386721611023,Both
k141_75359,Yes,No,Consensus,1.0,0.376132994890213,Both,N/A,N/A,N/A
NODE_7126_length_1024_cov_1.636739,No,Yes,Consensus,N/A,N/A,N/A,0.547,0.7961000204086304,Both
k141_53267,Yes,No,Consensus,0.987,0.0139806717634201,Both,N/A,N/A,N/A
k141_177145,Yes,No,Consensus,1.0,0.0164772346615791,Both,N/A,N/A,N/A
k141_50905,Yes,No,Consensus,0.92,0.3703588843345642,Both,N/A,N/A,N/A
k141_58511,Yes,No,Consensus,0.793,0.0264428257942199,Both,N/A,N/A,N/A
k141_57429,Yes,No,Consensus,0.96,0.0001590135798323,Both,N/A,N/A,N/A
k141_1655,Yes,No,Consensus,1.0,0.1620510369539261,Both,N/A,N/A,N/A
k141_3763,Yes,No,Consensus,0.647,5.665910066454671e-06,Both,N/A,N/A,N/A
k141_43369,Yes,No,Consensus,1.0,1.7438169379602186e-05,Both,N/A,N/A,N/A
k141_118353,Yes,No,Consensus,1.0,4.16402835980989e-05,Both,N/A,N/A,N/A
k141_146591,Yes,No,Consensus,0.713,0.0160436499863863,Both,N/A,N/A,N/A
k141_57558,Yes,No,Consensus,0.993,0.5541595220565796,Both,N/A,N/A,N/A
k141_153090,Yes,No,Consensus,0.933,0.0118227796629071,Both,N/A,N/A,N/A
k141_147998,Yes,No,Consensus,0.893,0.0007574587943963,Both,N/A,N/A,N/A
k141_89121,Yes,No,Consensus,0.687,1.5873605661909096e-05,Both,N/A,N/A,N/A
k141_92702,Yes,No,Consensus,0.833,0.028151886537671,Both,N/A,N/A,N/A
k141_143469,Yes,No,Consensus,0.973,0.0580293647944927,Both,N/A,N/A,N/A
NODE_5623_length_1090_cov_2.777778,No,Yes,Consensus,N/A,N/A,N/A,,1.7432626918889582e-05,Both
k141_97409,Yes,No,Consensus,0.913,0.0016268324106931,Both,N/A,N/A,N/A
k141_12823,Yes,No,Consensus,0.787,0.0184688568115234,Both,N/A,N/A,N/A
k141_126615,Yes,No,Consensus,0.853,0.3127139210700989,Both,N/A,N/A,N/A
k141_15675,Yes,No,Consensus,1.0,0.0102570941671729,Both,N/A,N/A,N/A
k141_17570,Yes,No,Consensus,0.993,0.1728429198265075,Both,N/A,N/A,N/A
k141_5342,Yes,No,Consensus,0.7,0.5448687076568604,Both,N/A,N/A,N/A
NODE_2847_length_1312_cov_2.119332,No,Yes,Consensus,N/A,N/A,N/A,0.987,0.0001372136030113,Both
k141_67810,Yes,No,Consensus,1.0,0.7343013882637024,Both,N/A,N/A,N/A
k141_102598,Yes,No,Consensus,0.967,0.0010510525899007,Both,N/A,N/A,N/A
NODE_4227_length_1180_cov_3.141333,No,Yes,Consensus,N/A,N/A,N/A,0.86,0.9827899932861328,Both
k141_127969,Yes,No,Consensus,0.553,0.005255953874439,Both,N/A,N/A,N/A
k141_75107,Yes,No,Consensus,0.827,0.0538735762238502,Both,N/A,N/A,N/A
k141_79667,Yes,No,Consensus,0.967,0.9998795986175536,Both,N/A,N/A,N/A
k141_78678,Yes,No,Consensus,0.7,0.0301273874938488,Both,N/A,N/A,N/A
k141_987,Yes,No,Consensus,1.0,0.9997869729995728,Both,N/A,N/A,N/A
k141_50704,Yes,No,Consensus,0.9,0.9862770438194276,Both,N/A,N/A,N/A
NODE_2322_length_1388_cov_1.498875,No,Yes,Consensus,N/A,N/A,N/A,0.96,0.0027873907238245,Both
k141_120271,Yes,No,Consensus,0.527,0.0098870424553751,Both,N/A,N/A,N/A
k141_125834,Yes,No,Consensus,,0.0005149649223312,Both,N/A,N/A,N/A
NODE_5795_length_1082_cov_1.383642,No,Yes,Consensus,N/A,N/A,N/A,0.987,0.000320121704135,Both
k141_34955,Yes,No,Consensus,0.873,9.560746548231692e-05,Both,N/A,N/A,N/A
k141_36974,Yes,No,Consensus,0.667,0.5280004739761353,Both,N/A,N/A,N/A
k141_60187,Yes,No,Consensus,0.68,0.0041430806741118,Both,N/A,N/A,N/A
NODE_520_length_2121_cov_2.014037,No,Yes,Consensus,N/A,N/A,N/A,0.833,0.4376989901065826,Both
k141_141376,Yes,No,Consensus,0.747,0.7212153077125549,Both,N/A,N/A,N/A
k141_176014,Yes,No,Consensus,0.98,0.4196969866752624,Both,N/A,N/A,N/A
k141_156494,Yes,No,Consensus,0.967,0.0019240545807406,Both,N/A,N/A,N/A
NODE_4168_length_1184_cov_3.765279,No,Yes,Consensus,N/A,N/A,N/A,0.553,0.626308798789978,Both
k141_163058,Yes,No,Consensus,0.553,0.1263445764780044,Both,N/A,N/A,N/A
k141_50788,Yes,No,Consensus,0.807,0.0006268915603868,Both,N/A,N/A,N/A
k141_178842,Yes,No,Consensus,0.72,0.0083666257560253,Both,N/A,N/A,N/A
k141_161851,Yes,No,Consensus,0.987,0.590400218963623,Both,N/A,N/A,N/A
k141_128571,Yes,No,Consensus,0.96,1.797836557670962e-05,Both,N/A,N/A,N/A
k141_118240,Yes,No,Consensus,0.947,9.451206278754398e-05,Both,N/A,N/A,N/A
k141_85130,Yes,No,Consensus,0.62,0.4686913192272186,Both,N/A,N/A,N/A
NODE_1304_length_1627_cov_5.342239,No,Yes,Consensus,N/A,N/A,N/A,0.647,0.0222396031022071,Both
k141_26113,Yes,No,Consensus,0.56,0.8601737022399902,Both,N/A,N/A,N/A
k141_153816,Yes,No,Consensus,0.9,0.0007082467200234,Both,N/A,N/A,N/A
k141_13773,Yes,No,Consensus,1.0,0.0880547314882278,Both,N/A,N/A,N/A
k141_133920,Yes,No,Consensus,0.513,1.940541551448405e-06,Both,N/A,N/A,N/A
k141_76964,Yes,No,Consensus,0.993,6.164995625113079e-08,Both,N/A,N/A,N/A
k141_113692,Yes,No,Consensus,0.96,0.2298785150051117,Both,N/A,N/A,N/A
k141_158135,Yes,No,Consensus,0.813,0.2321128845214843,Both,N/A,N/A,N/A
k141_118252,Yes,No,Consensus,0.833,0.0136806331574916,Both,N/A,N/A,N/A
k141_101576,Yes,No,Consensus,0.987,0.2160101979970932,Both,N/A,N/A,N/A
k141_113146,Yes,No,Consensus,0.827,0.0002699814212974,Both,N/A,N/A,N/A
k141_127881,Yes,No,Consensus,,0.0097096571698784,Both,N/A,N/A,N/A
NODE_214_length_2775_cov_3.170221,No,Yes,Consensus,N/A,N/A,N/A,0.527,0.0003370297490619,Both
k141_20059,Yes,No,Consensus,,0.2629821002483368,Both,N/A,N/A,N/A
k141_28716,Yes,No,Consensus,0.94,0.0001734574907459,Both,N/A,N/A,N/A
k141_1875,Yes,No,Consensus,0.553,0.0003749597526621,Both,N/A,N/A,N/A
k141_157821,Yes,No,Consensus,,0.0033175493590533,Both,N/A,N/A,N/A
k141_168588,Yes,No,Consensus,0.96,0.0751804113388061,Both,N/A,N/A,N/A
k141_95020,Yes,No,Consensus,0.907,0.0769654661417007,Both,N/A,N/A,N/A
k141_147686,Yes,No,Consensus,0.967,0.0154203819110989,Both,N/A,N/A,N/A
NODE_1270_length_1641_cov_2.975410,No,Yes,Consensus,N/A,N/A,N/A,1.0,0.4235846698284149,Both
k141_102757,Yes,No,Consensus,0.94,0.0766569525003433,Both,N/A,N/A,N/A
k141_177010,Yes,No,Consensus,0.8,0.0046811792999506,Both,N/A,N/A,N/A
k141_159308,Yes,No,Consensus,1.0,0.1168956011533737,Both,N/A,N/A,N/A
k141_12600,Yes,No,Consensus,0.607,0.0120110381394624,Both,N/A,N/A,N/A
k141_173841,Yes,No,Consensus,1.0,0.0018022244330495,Both,N/A,N/A,N/A
k141_37035,Yes,No,Consensus,0.667,0.0093578184023499,Both,N/A,N/A,N/A
k141_138441,Yes,No,Consensus,0.613,0.0009244555840268,Both,N/A,N/A,N/A
NODE_3733_length_1220_cov_2.378541,No,Yes,Consensus,N/A,N/A,N/A,0.907,0.0084741469472646,Both
k141_26643,Yes,No,Consensus,0.993,0.0012531750835478,Both,N/A,N/A,N/A
k141_158762,Yes,No,Consensus,,0.6655920743942261,Both,N/A,N/A,N/A
k141_61127,Yes,No,Consensus,0.94,0.0632626414299011,Both,N/A,N/A,N/A
k141_95060,Yes,No,Consensus,0.953,0.1473810374736786,Both,N/A,N/A,N/A
k141_27730,Yes,No,Consensus,0.66,0.0061640124768018,Both,N/A,N/A,N/A
k141_172107,Yes,No,Consensus,0.887,0.0013007039669901,Both,N/A,N/A,N/A
k141_81403,Yes,No,Consensus,0.613,0.4331327080726623,Both,N/A,N/A,N/A
k141_2030,Yes,No,Consensus,0.567,4.6098430175334215e-05,Both,N/A,N/A,N/A
k141_59801,Yes,No,Consensus,0.933,0.0761755108833313,Both,N/A,N/A,N/A
k141_161888,Yes,No,Consensus,0.907,0.5026248097419739,Both,N/A,N/A,N/A
k141_175308,Yes,No,Consensus,0.693,0.0045992149971425,Both,N/A,N/A,N/A
k141_74940,Yes,No,Consensus,0.567,0.4178447127342224,Both,N/A,N/A,N/A
k141_10722,Yes,No,Consensus,0.987,5.5739281634714644e-08,Both,N/A,N/A,N/A
k141_170929,Yes,No,Consensus,0.527,1.2251818588993046e-05,Both,N/A,N/A,N/A
NODE_3316_length_1259_cov_1.298173,No,Yes,Consensus,N/A,N/A,N/A,0.567,0.0001192600029753,Both
k141_163578,Yes,No,Consensus,0.807,0.0054944166913628,Both,N/A,N/A,N/A
k141_181086,Yes,No,Consensus,0.527,0.0098606804385781,Both,N/A,N/A,N/A
k141_66593,Yes,No,Consensus,0.68,0.920878529548645,Both,N/A,N/A,N/A
k141_136379,Yes,No,Consensus,,0.0022859573364257,Both,N/A,N/A,N/A
k141_124686,Yes,No,Consensus,0.547,1.739803821010355e-07,Both,N/A,N/A,N/A
k141_62083,Yes,No,Consensus,0.673,1.866022500962572e-07,Both,N/A,N/A,N/A
k141_146304,Yes,No,Consensus,0.613,0.6749092936515808,Both,N/A,N/A,N/A
k141_33211,Yes,No,Consensus,0.887,0.4534255564212799,Both,N/A,N/A,N/A
k141_179676,Yes,No,Consensus,0.92,0.0004767454229295,Both,N/A,N/A,N/A
k141_40949,Yes,No,Consensus,0.88,0.3747739791870117,Both,N/A,N/A,N/A
k141_129318,Yes,No,Consensus,1.0,0.8591246008872986,Both,N/A,N/A,N/A
k141_45015,Yes,No,Consensus,0.993,0.0014490998582914,Both,N/A,N/A,N/A
k141_91788,Yes,No,Consensus,0.673,0.0156232733279466,Both,N/A,N/A,N/A
k141_38626,Yes,No,Consensus,0.633,6.750234024366364e-05,Both,N/A,N/A,N/A
k141_13477,Yes,No,Consensus,0.613,5.442842302727513e-05,Both,N/A,N/A,N/A
k141_174574,Yes,No,Consensus,0.88,0.0828279182314872,Both,N/A,N/A,N/A
k141_160123,Yes,No,Consensus,0.873,4.361797618912533e-05,Both,N/A,N/A,N/A
k141_171237,Yes,No,Consensus,0.88,0.3618443310260772,Both,N/A,N/A,N/A
k141_85903,Yes,No,Consensus,0.513,0.0090890750288963,Both,N/A,N/A,N/A
k141_158240,Yes,No,Consensus,0.893,0.3509960770606994,Both,N/A,N/A,N/A
k141_98993,Yes,No,Consensus,0.613,0.3911241590976715,Both,N/A,N/A,N/A
NODE_7102_length_1025_cov_3.312371,No,Yes,Consensus,N/A,N/A,N/A,0.993,0.1595101952552795,Both
k141_49560,Yes,No,Consensus,0.567,0.008446404710412,Both,N/A,N/A,N/A
k141_30098,Yes,No,Consensus,0.567,9.418534432370508e-07,Both,N/A,N/A,N/A
k141_102648,Yes,No,Consensus,0.933,0.032485544681549,Both,N/A,N/A,N/A
k141_121224,Yes,No,Consensus,0.993,0.0698127746582031,Both,N/A,N/A,N/A
k141_101583,Yes,No,Consensus,0.573,0.0003744351561181,Both,N/A,N/A,N/A
k141_61227,Yes,No,Consensus,0.727,0.2832982242107391,Both,N/A,N/A,N/A
k141_172654,Yes,No,Consensus,0.993,0.7160499691963196,Both,N/A,N/A,N/A
k141_80759,Yes,No,Consensus,0.96,9.384765462527866e-07,Both,N/A,N/A,N/A
k141_159390,Yes,No,Consensus,,1.649744945098064e-06,Both,N/A,N/A,N/A
k141_140244,Yes,No,Consensus,0.54,0.0170192029327154,Both,N/A,N/A,N/A
k141_119293,Yes,No,Consensus,0.813,0.3204673826694488,Both,N/A,N/A,N/A
k141_24516,Yes,No,Consensus,0.713,0.8338873386383057,Both,N/A,N/A,N/A
NODE_1818_length_1487_cov_2.956704,No,Yes,Consensus,N/A,N/A,N/A,0.96,0.2349200695753097,Both
k141_117636,Yes,No,Consensus,0.64,0.0011175582185387,Both,N/A,N/A,N/A
NODE_5159_length_1117_cov_3.936911,No,Yes,Consensus,N/A,N/A,N/A,0.8,0.4944002330303192,Both
k141_39934,Yes,No,Consensus,0.953,4.540766440186417e-06,Both,N/A,N/A,N/A
k141_154688,Yes,No,Consensus,0.867,0.0006417161785066,Both,N/A,N/A,N/A
k141_173395,Yes,No,Consensus,0.867,0.0089716091752052,Both,N/A,N/A,N/A
k141_154333,Yes,No,Consensus,0.633,4.268913471605629e-05,Both,N/A,N/A,N/A
k141_104712,Yes,No,Consensus,,0.0284601561725139,Both,N/A,N/A,N/A
k141_174479,Yes,No,Consensus,0.72,0.9670812487602234,Both,N/A,N/A,N/A
k141_38962,Yes,No,Consensus,0.747,0.0869079306721687,Both,N/A,N/A,N/A
k141_37080,Yes,No,Consensus,0.833,8.008305485418532e-06,Both,N/A,N/A,N/A
k141_128338,Yes,No,Consensus,0.76,0.2601633071899414,Both,N/A,N/A,N/A
NODE_4939_length_1132_cov_1.756732,No,Yes,Consensus,N/A,N/A,N/A,0.867,0.6214421987533569,Both
k141_165054,Yes,No,Consensus,0.947,0.1043502762913703,Both,N/A,N/A,N/A
NODE_6314_length_1057_cov_1.453094,No,Yes,Consensus,N/A,N/A,N/A,0.993,8.797202463028952e-05,Both
k141_61440,Yes,No,Consensus,0.84,0.0333965122699737,Both,N/A,N/A,N/A
k141_67788,Yes,No,Consensus,0.94,0.0054347310215234,Both,N/A,N/A,N/A
k141_87860,Yes,No,Consensus,0.747,0.0006459820433519,Both,N/A,N/A,N/A
k141_92979,Yes,No,Consensus,,0.3824228942394256,Both,N/A,N/A,N/A
NODE_1412_length_1589_cov_1.436115,No,Yes,Consensus,N/A,N/A,N/A,0.88,0.0503912605345249,Both
k141_55482,Yes,No,Consensus,0.92,0.6087605953216553,Both,N/A,N/A,N/A
k141_40026,Yes,No,Consensus,0.993,0.005834539886564,Both,N/A,N/A,N/A
k141_67923,Yes,No,Consensus,0.767,0.0248259864747524,Both,N/A,N/A,N/A
k141_44856,Yes,No,Consensus,0.94,0.0029768811073154,Both,N/A,N/A,N/A
NODE_182_length_2913_cov_4.265220,No,Yes,Consensus,N/A,N/A,N/A,0.88,0.1530700325965881,Both
k141_77125,Yes,No,Consensus,0.9,0.000857050938066,Both,N/A,N/A,N/A
k141_2909,Yes,No,Consensus,0.993,0.4201812744140625,Both,N/A,N/A,N/A
k141_164242,Yes,No,Consensus,0.813,0.0113192535936832,Both,N/A,N/A,N/A
k141_77836,Yes,No,Consensus,0.84,0.0013471113052219,Both,N/A,N/A,N/A
k141_83679,Yes,No,Consensus,,0.3889931440353393,Both,N/A,N/A,N/A
k141_38839,Yes,No,Consensus,0.58,0.0003123234782833,Both,N/A,N/A,N/A
k141_155505,Yes,No,Consensus,0.833,0.4248501658439636,Both,N/A,N/A,N/A
k141_51985,Yes,No,Consensus,0.78,9.543413762003183e-05,Both,N/A,N/A,N/A
k141_78320,Yes,No,Consensus,1.0,0.0020449482835829,Both,N/A,N/A,N/A
k141_16038,Yes,No,Consensus,0.973,0.0005294698057696,Both,N/A,N/A,N/A
k141_149848,Yes,No,Consensus,0.86,0.796270489692688,Both,N/A,N/A,N/A
k141_126071,Yes,No,Consensus,0.507,0.053533524274826,Both,N/A,N/A,N/A
k141_167473,Yes,No,Consensus,1.0,0.0006326769362203,Both,N/A,N/A,N/A
k141_13387,Yes,No,Consensus,0.933,0.000140111442306,Both,N/A,N/A,N/A
k141_124689,Yes,No,Consensus,0.953,0.7402883768081665,Both,N/A,N/A,N/A
k141_94521,Yes,No,Consensus,1.0,0.6506918668746948,Both,N/A,N/A,N/A
k141_74987,Yes,No,Consensus,1.0,0.0678502917289733,Both,N/A,N/A,N/A
k141_172639,Yes,No,Consensus,0.993,0.0006496824789792,Both,N/A,N/A,N/A
k141_137998,Yes,No,Consensus,0.813,0.019305732101202,Both,N/A,N/A,N/A
k141_93577,Yes,No,Consensus,0.667,1.259263626707252e-05,Both,N/A,N/A,N/A
k141_132772,Yes,No,Consensus,0.94,0.0223399717360734,Both,N/A,N/A,N/A
k141_32793,Yes,No,Consensus,0.98,0.1950361430644989,Both,N/A,N/A,N/A
NODE_3271_length_1264_cov_1.328371,No,Yes,Consensus,N/A,N/A,N/A,0.98,7.241222647280665e-06,Both
k141_32475,Yes,No,Consensus,0.9,0.4708847999572754,Both,N/A,N/A,N/A
k141_74974,Yes,No,Consensus,0.733,1.7818368860389455e-06,Both,N/A,N/A,N/A
k141_134700,Yes,No,Consensus,0.74,9.842174767982216e-05,Both,N/A,N/A,N/A
k141_52992,Yes,No,Consensus,0.873,0.0084129590541124,Both,N/A,N/A,N/A
k141_98473,Yes,No,Consensus,0.68,0.0192996449768543,Both,N/A,N/A,N/A
k141_54661,Yes,No,Consensus,0.947,0.1116370558738708,Both,N/A,N/A,N/A
k141_101266,Yes,No,Consensus,0.96,0.1966714560985565,Both,N/A,N/A,N/A
k141_146558,Yes,No,Consensus,,0.0071984310634434,Both,N/A,N/A,N/A
NODE_758_length_1898_cov_3.709712,No,Yes,Consensus,N/A,N/A,N/A,0.747,0.0001009802363114,Both
k141_61166,Yes,No,Consensus,0.793,0.0049249334260821,Both,N/A,N/A,N/A
k141_128523,Yes,No,Consensus,0.873,0.558771550655365,Both,N/A,N/A,N/A
NODE_1549_length_1545_cov_3.516107,No,Yes,Consensus,N/A,N/A,N/A,0.587,0.031179953366518,Both
k141_133836,Yes,No,Consensus,0.513,5.5135828915808816e-06,Both,N/A,N/A,N/A
k141_63928,Yes,No,Consensus,0.847,0.0003165967646054,Both,N/A,N/A,N/A
k141_22234,Yes,No,Consensus,0.98,0.1169183328747749,Both,N/A,N/A,N/A
k141_123513,Yes,No,Consensus,0.847,0.0327517837285995,Both,N/A,N/A,N/A
k141_82069,Yes,No,Consensus,1.0,0.3275741934776306,Both,N/A,N/A,N/A
k141_160405,Yes,No,Consensus,0.947,0.5547200441360474,Both,N/A,N/A,N/A
k141_92217,Yes,No,Consensus,0.513,0.0037063288036733,Both,N/A,N/A,N/A
k141_78747,Yes,No,Consensus,0.94,0.0020141270942986,Both,N/A,N/A,N/A
k141_85727,Yes,No,Consensus,0.5,1.0785539416247047e-05,Both,N/A,N/A,N/A
k141_153234,Yes,No,Consensus,0.6,0.0819177702069282,Both,N/A,N/A,N/A
k141_115616,Yes,No,Consensus,0.987,0.9997957348823548,Both,N/A,N/A,N/A
k141_134863,Yes,No,Consensus,0.567,7.607349772342786e-08,Both,N/A,N/A,N/A
k141_98676,Yes,No,Consensus,0.96,0.972129225730896,Both,N/A,N/A,N/A
k141_141154,Yes,No,Consensus,0.867,0.3351545929908752,Both,N/A,N/A,N/A
k141_102769,Yes,No,Consensus,1.0,0.0016993276076391,Both,N/A,N/A,N/A
k141_68970,Yes,No,Consensus,0.8,0.4049448072910309,Both,N/A,N/A,N/A
k141_5133,Yes,No,Consensus,0.927,0.0024955060798674,Both,N/A,N/A,N/A
k141_141293,Yes,No,Consensus,0.94,0.0793924629688263,Both,N/A,N/A,N/A
NODE_3581_length_1232_cov_2.187766,No,Yes,Consensus,N/A,N/A,N/A,0.547,2.3612614086232497e-07,Both
k141_34246,Yes,No,Consensus,0.76,7.368167280219495e-05,Both,N/A,N/A,N/A
k141_43437,Yes,No,Consensus,0.533,9.926965867634864e-05,Both,N/A,N/A,N/A
k141_44183,Yes,No,Consensus,0.56,0.9989731311798096,Both,N/A,N/A,N/A
k141_86633,Yes,No,Consensus,0.553,0.0001080096917576,Both,N/A,N/A,N/A
k141_86827,Yes,No,Consensus,0.687,0.0376264192163944,Both,N/A,N/A,N/A
NODE_6159_length_1064_cov_1.794846,No,Yes,Consensus,N/A,N/A,N/A,0.96,0.028333643451333,Both
k141_136588,Yes,No,Consensus,0.667,1.631588747841306e-05,Both,N/A,N/A,N/A
k141_166781,Yes,No,Consensus,0.98,0.9406976103782654,Both,N/A,N/A,N/A
k141_70073,Yes,No,Consensus,0.8,0.3891304731369018,Both,N/A,N/A,N/A
k141_69353,Yes,No,Consensus,0.72,5.39599432158866e-06,Both,N/A,N/A,N/A
NODE_245_length_2672_cov_3.768819,No,Yes,Consensus,N/A,N/A,N/A,0.907,0.1634755283594131,Both
k141_116134,Yes,No,Consensus,0.587,0.0002740898053161,Both,N/A,N/A,N/A
k141_95075,Yes,No,Consensus,0.833,3.855361541127422e-08,Both,N/A,N/A,N/A
k141_9065,Yes,No,Consensus,0.987,3.7523677747230977e-06,Both,N/A,N/A,N/A
k141_4892,Yes,No,Consensus,0.713,6.057688733562827e-05,Both,N/A,N/A,N/A
NODE_2731_length_1326_cov_1.973249,No,Yes,Consensus,N/A,N/A,N/A,0.993,0.756131649017334,Both
k141_128191,Yes,No,Consensus,0.993,0.52813321352005,Both,N/A,N/A,N/A
k141_177892,Yes,No,Consensus,0.973,0.0002000037493417,Both,N/A,N/A,N/A
k141_178977,Yes,No,Consensus,0.847,0.0002166408667108,Both,N/A,N/A,N/A
k141_134571,Yes,No,Consensus,0.52,0.0074580525979399,Both,N/A,N/A,N/A
NODE_5520_length_1095_cov_2.993269,No,Yes,Consensus,N/A,N/A,N/A,0.54,0.0124918622896075,Both
NODE_2644_length_1339_cov_1.728972,No,Yes,Consensus,N/A,N/A,N/A,0.993,0.4108749628067016,Both
k141_174205,Yes,No,Consensus,0.98,0.0271813832223415,Both,N/A,N/A,N/A
k141_177238,Yes,No,Consensus,0.96,0.0482130832970142,Both,N/A,N/A,N/A
k141_166762,Yes,No,Consensus,0.847,9.368571227241771e-06,Both,N/A,N/A,N/A
k141_132150,Yes,No,Consensus,0.7,0.154158353805542,Both,N/A,N/A,N/A
k141_169192,Yes,No,Consensus,0.987,0.1811126172542572,Both,N/A,N/A,N/A
k141_173272,Yes,No,Consensus,0.787,0.0088834092020988,Both,N/A,N/A,N/A
k141_157605,Yes,No,Consensus,,0.4523735642433166,Both,N/A,N/A,N/A
k141_180291,Yes,No,Consensus,0.847,0.0872517451643943,Both,N/A,N/A,N/A
k141_11214,Yes,No,Consensus,0.967,0.0005024569691158,Both,N/A,N/A,N/A
k141_176750,Yes,No,Consensus,0.693,0.0750833973288536,Both,N/A,N/A,N/A
k141_92412,Yes,No,Consensus,0.913,0.2106374949216842,Both,N/A,N/A,N/A
k141_89055,Yes,No,Consensus,0.92,4.151027314946987e-05,Both,N/A,N/A,N/A
k141_110918,Yes,No,Consensus,0.973,5.126655014464632e-05,Both,N/A,N/A,N/A
NODE_2259_length_1399_cov_1.097470,No,Yes,Consensus,N/A,N/A,N/A,1.0,0.2723908722400665,Both
k141_51919,Yes,No,Consensus,0.587,0.0988206416368484,Both,N/A,N/A,N/A
k141_37482,Yes,No,Consensus,0.933,0.010927801951766,Both,N/A,N/A,N/A
